镰,鐮䥥鎌
闲,閒閑
闸,閘牐
闹,鬧閙
阅,閱閲
阔,濶闊
陕,陝陜
隶,隸隷
雁,雁鴈
雇,雇僱
雕,雕鵰彫琱
雠,讎讐
霉,霉黴
面,面麵麪麫
韧,韌靭靱
须,須鬚
颓,穨頹頽
颜,顏顔
额,額頟
飒,颯䬃
飘,飄飃
饥,饑飢
饪,飪餁
饲,飼飤
馆,館舘
馈,饋餽
馍,饃饝
驮,馱䭾
驱,驅駈敺
骂,罵駡
验,驗騐
骡,騾驘
髯,髯髥
鲇,鮎鯰
鲜,鮮尟尠
鲞,鮝鯗
鲠,鯁骾
鳁,鰮鰛
鳄,鱷鰐
鳌,鰲鼇
鳖,鱉鼈
鸡,雞鷄
鸦,鴉鵶
鸩,鴆酖
鹅,鵝䳘鵞䳗
鹇,鷳鷴
鹚,鷀鶿
𩙧,䬞𩗡
𫇭,蔿蒍
拼,拼拚
