orig,SC,TC
uni55DD,uni55DD-SC,uni55DD-TC
uni55DF,uni55DF-SC,uni55DF-TC
uni55E6,uni55E6-SC,uni55E6-TC
uni55F5,uni55F5-SC,uni55F5-TC
uni55F9,uni55F9-SC,uni55F9-TC
uni5605,uni5605-SC,uni5605-TC
uni562C,uni562C-SC,uni562C-TC
uni5630,uni5630-SC,uni5630-TC
uni5634,uni5634-SC,uni5634-TC
uni5649,uni5649-SC,uni5649-TC
uni565D,uni565D-SC,uni565D-TC
uni5660,uni5660-SC,uni5660-TC
uni5662,uni5662-SC,uni5662-TC
uni5678,uni5678-SC,uni5678-TC
uni567A,uni567A-SC,uni567A-TC
uni56AE,uni56AE-SC,uni56AE-TC
uni56B3,uni56B3-SC,uni56B3-TC
uni56B4,uni56B4-SC,uni56B4-TC
uni56BC,uni56BC-SC,uni56BC-TC
uni56BE,uni56BE-SC,uni56BE-TC
uni56C9,uni56C9-SC,uni56C9-TC
uni56D1,uni56D1-SC,uni56D1-TC
uni56D6,uni56D6-SC,uni56D6-TC
uni56E4,uni56E4-SC,uni56E4-TC
uni56F9,uni56F9-SC,uni56F9-TC
uni56FE,uni56FE-SC,uni56FE-TC
uni570A,uni570A-SC,uni570A-TC
uni5716,uni5716-SC,uni5716-TC
uni571D,uni571D-SC,uni571D-TC
uni5742,uni5742-SC,uni5742-TC
uni5747,uni5747-SC,uni5747-TC
uni5749,uni5749-SC,uni5749-TC
uni577A,uni577A-SC,uni577A-TC
uni577B,uni577B-SC,uni577B-TC
uni57C6,uni57C6-SC,uni57C6-TC
uni57CF,uni57CF-SC,uni57CF-TC
uni57D5,uni57D5-SC,uni57D5-TC
uni57DD,uni57DD-SC,uni57DD-TC
uni57F4,uni57F4-SC,uni57F4-TC
uni581D,uni581D-SC,uni581D-TC
uni584A,uni584A-SC,uni584A-TC
uni584C,uni584C-SC,uni584C-TC
uni5860,uni5860-SC,uni5860-TC
uni5865,uni5865-SC,uni5865-TC
uni586B,uni586B-SC,uni586B-TC
uni586D,uni586D-SC,uni586D-TC
uni5880,uni5880-SC,uni5880-TC
uni5881,uni5881-SC,uni5881-TC
uni589F,uni589F-SC,uni589F-TC
uni58BA,uni58BA-SC,uni58BA-TC
uni58D9,uni58D9-SC,uni58D9-TC
uni58DE,uni58DE-SC,uni58DE-TC
uni58EC,uni58EC-SC,uni58EC-TC
uni5904,uni5904-SC,uni5904-TC
uni5922,uni5922-SC,uni5922-TC
uni595D,uni595D-SC,uni595D-TC
uni598A,uni598A-SC,uni598A-TC
uni5992,uni5992-SC,uni5992-TC
uni5997,uni5997-SC,uni5997-TC
uni599E,uni599E-SC,uni599E-TC
uni59D2,uni59D2-SC,uni59D2-TC
uni5A31,uni5A31-SC,uni5A31-TC
uni5A67,uni5A67-SC,uni5A67-TC
uni5AA7,uni5AA7-SC,uni5AA7-TC
uni5AB1,uni5AB1-SC,uni5AB1-TC
uni5ABA,uni5ABA-SC,uni5ABA-TC
uni5AC2,uni5AC2-SC,uni5AC2-TC
uni5AD8,uni5AD8-SC,uni5AD8-TC
uni5ADA,uni5ADA-SC,uni5ADA-TC
uni5B34,uni5B34-SC,uni5B34-TC
