default,TC
舵,JP83
舶,JP83
舷,JP83
舸,JP83
船,JP83
艀,JP83
艇,JP83
艙,JP83
艚,JP83
艝,JP83
艟,JP83
艢,JP83
艤,JP83
艦,JP83
艨,JP83
艪,JP83
艫,JP83
花,JP83
芽,JP83
苹,JP83
茎,JP83
茫,JP83
荿,JP83
莽,JP83
菟,JP83
菲,JP83
菷,JP83
萍,JP83
萠,JP83
萢,JP83
萸,JP83
蒋,JP83
蒹,JP83
蒻,JP83
蓊,JP83
蓴,JP83
蓼,JP83
蕁,JP83
蕕,JP83
薄,JP83
蘭,JP83
蘰,JP83
虐,JP83
虞,JP83
虧,JP83
虻,JP83
蚩,JP83
蛮,JP83
蜃,JP83
蜉,JP83
蜚,JP83
蜷,JP83
蝉,JP83
蝓,JP83
蝙,JP83
蝨,JP83
螂,JP83
螯,JP83
蟒,JP83
蟶,JP83
蠶,JP83
衂,JP83
衛,JP83
衷,JP83
袢,JP83
袮,JP83
裟,JP83
裴,JP83
裵,JP83
褊,JP83
褐,JP83
褶,JP83
覃,JP83
覈,JP83
覊,JP83
覓,JP83
覦,JP83
覩,JP83
訒,JP83
認,JP83
誚,JP83
誤,JP83
諂,JP83
諍,JP83
諏,JP83
諞,JP83
謁,JP83
謚,JP83
謡,JP83
謹,JP83
譌,JP83
譏,JP83
譖,JP83
譿,JP83
谺,JP83
谿,JP83
象,JP83
豢,JP83
豬,JP83
賊,JP83
賓,JP83
賺,JP83
贅,JP83
贈,JP83
贏,JP83
赧,JP83
赭,JP83
赳,JP83
趙,JP83
趣,JP83
践,JP83
踰,JP83
蹈,JP83
蹊,JP83
蹲,JP83
躇,JP83
躍,JP83
躑,JP83
躡,JP83
輒,JP83
輙,JP83
輩,JP83
轄,JP83
轌,JP83
轔,JP83
辭,JP83
返,JP83
迩,JP83
逍,JP83
逞,JP83
逸,JP83
逾,JP83
遍,JP83
過,JP83
遒,JP83
違,JP83
遥,JP83
遨,JP83
遴,JP83
遷,JP83
選,JP83
邪,JP83
郛,JP83
郤,JP83
鄕,JP83
醪,JP83
釁,JP83
釮,JP83
鈞,JP83
鈩,JP83
鉅,JP83
銷,JP83
鋳,JP83
鋿,JP83
錚,JP83
錵,JP83
鍮,JP83
鍰,JP83
鎮,JP83
鎰,JP83
鎹,JP83
鏐,JP83
鏖,JP83
鑷,JP83
閻,JP83
闍,JP83
降,JP83
陦,JP83
陬,JP83
陷,JP83
隆,JP83
隘,JP83
隣,JP83
隧,JP83
隱,JP83
雅,JP83
雇,JP83
難,JP83
霄,JP83
霆,JP83
霏,JP83
霪,JP83
靜,JP83
非,JP83
靠,JP83
靡,JP83
靨,JP83
靭,JP83
靴,JP83
韵,JP83
響,JP83
頤,JP83
頻,JP83
顛,JP83
類,JP83
顧,JP83
顳,JP83
飩,JP83
飫,JP83
飭,JP83
飽,JP83
餃,JP83
餉,JP83
餒,JP83
餔,JP83
餘,JP83
餝,JP83
餞,JP83
餠,JP83
餡,JP83
餤,JP83
餧,JP83
餬,JP83
餮,JP83
餽,JP83
餾,JP83
饂,JP83
饅,JP83
饉,JP83
饋,JP83
饌,JP83
饐,JP83
饑,JP83
饒,JP83
饕,JP83
駸,JP83
驟,JP83
髄,JP83
鬮,JP83
魍,JP83
魘,JP83
鮃,JP83
鮹,JP83
鯡,JP83
鰀,JP83
鰌,JP83
鰰,JP83
鰲,JP83
鱗,JP83
鱶,JP83
鶲,JP83
鶸,JP83
鷁,JP83
鷄,JP83
鷏,JP83
麋,JP83
麌,JP83
麑,JP83
麕,JP83
麝,JP83
麟,JP83
黛,JP83
黶,JP83
黹,JP83
黻,JP83
黼,JP83
黽,JP83
鼇,JP83
鼈,JP83
鼎,JP83
鼻,JP83
龜,JP83
龝,JP83
蘒,JP83
﨤,JP83
逸,JP83
